store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
,,EQUINOX Summit68 River Rd. ,,Summit ,NJ,07901,United States,,,,"mon - thurs:6:00am - 9:00pm, fri:6:00am - 8:00pm, sat - sun:8:00am - 3:00pm",,,
,,EQUINOX Mamaroneck1053 Boston Post Rd. ,,Mamaroneck ,NY,10543,United States,,,,"mon - thurs:7:00am - 8:00pm, fri - sun:7:00am - 7:00pm",,,
,,EQUINOX Franklin Street225 Franklin St ,,Boston ,MA,02110,United States,,,,"mon - thurs:6:30am - 9:00pm, fri:6:30am - 7:00pm, sat - sun:9:00am - 3:00pm",,,
,,EQUINOX Dartmouth131 Dartmouth St ,,Boston ,MA,02116,United States,,,,"mon - thurs:6:30am - 10:00pm, fri:6:30am - 9:00pm, sat - sun:8:00am - 7:00pm",,,
,,109 Seaport Blvd.,,Boston ,MA,02210,United States,,,,"mon - fri:7:00 am - 8:00 pm, sat - sun:8:00 am - 5:00 pm",,,
,,500 Boylston St. Boston,,,MA,02116,United States,,,,"mon - fri:7:00am - 8:00pm, sat:8:00am - 6:00pm, sun:9:00am - 5:00pm",,,
,,The Street33 Boylston St ,,Chestnut Hill ,MA,,United States,,,,"mon - fri:7:00 am - 8:00 pm, sat - sun:9:00 am - 8:00 pm",,,
,,EQUINOX Darien72 Heights Rd ,,Darien ,CT,,United States,,,,"mon-thurs:6:00am - 9:00pm, fri:6:00am - 8:00pm, sat:8:00am - 7:00pm, sun:8:00am - 6:00pm",,,
,,EQUINOX Greenwich16 Old Track Road ,,Greenwich ,CT,06830,United States,,,,"mon - thurs:7:00am - 8:00pm, fri:7:00am - 7:00pm, sat:8:00am - 5:30pm, sun:8:00am - 5:00pm",,,
,,360 Greenwich AveCT ,,,,06830,United States,,,,"mon - fri:6:30am - 8:00pm, sat - sun:8:00am - 8:00pm",,,
