store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Sao Paulo JK Iguatemi,670496,"Shopping Center JK Iguatemi, 
Av Presidente Juscelino Kubitschek 2041, 
Piso Terreo, 04543-011",,Sao Paulo,,,Brazil,+55 1130475757,-23.591347,-46.68927,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 14:00 / 20:00,,,
Chengdu Maison Mode,670497,"Shop 103, Maison Mode, 
No 18 Renmin South Road Section 2, 
Jinjiang Distrct",,Chengdu,,,China,+86 2886200966,30.658084,104.071883,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00No closing days.,,,
Hangzhou Mixc Mall,670498,"Shop 148, The MIXC Mall, 
701 Fuchun Road, Jianggan District",,Hangzhou,,,China,+86 57189705509,30.257457,120.221846,Monday: 10:00 / 21:30Tuesday: 10:00 / 21:30Wednesday: 10:00 / 21:30Thursday: 10:00 / 21:30Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday:10:00 / 22:00No closing days.,,,
Kunming Shuncheng Shopping Mall,670499,"Shop T-120, Shuncheng Shopping Mall, 
11 Dongfeng West Road, Wuhua District",,Kunming,,,China,+86 87163661388,25.042305,102.713968,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:30Saturday: 10:00 / 22:30Sunday: 10:00 / 22:00No closing days.,,,
Shanghai  IFC Mall,670500,"Shop No.1L-03, No.8 Century Avenue, 
Lu Jia Zui District, Pu Dong",,Shanghai,,,China,+86 2150120701,31.241924,121.509534,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 20:00No closing days.,,,
Shenyang L'avenue Shopping Center,670501,"Shop 110, L'Avenue Shopping Center, 
12 Huigong Street, Shenhe District",,Shenyang,,,China,+86 2422761557,41.814326,123.441562,Monday: 10:00 / 21:00Tuesday: 10:00 / 21:00Wednesday: 10:00 / 21:00Thursday: 10:00 / 21:00Friday: 10:00 / 21:00Saturday: 10:00 / 21:00Sunday: 10:00 / 21:00No closing days.,,,
Shenzhen Mixc Mall,670502,"Shop 143, The MIXC Mall Phase I, 
1881 Bao'an South Road, 
Luohu District",,Shenzhen,,,China,+86 75582668569,22.546038,114.11739,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 23:30Saturday: 10:00 / 23:30Sunday: 10:00 / 22:00No closing days.,,,
Taiyuan Wangfujing,670504,"Shop 1F Wangfujing Dept.Store, 
99 Qinxian North Street, 
Xiaodian District",,Taiyuan,,,China,+86 3517887188,37.830113,112.565536,Monday: 09:30 / 22:00Tuesday: 09:30 / 22:00Wednesday: 09:30 / 22:00Thursday: 09:30 / 22:00Friday: 09:30 / 22:00Saturday: 09:30 / 22:00Sunday: 09:30 / 22:00No closing days.,,,
Tianjin Hisense Plaza,670505,"Shop 122222, Hisense Plaza, 
188 Jiefang North Road, 
Heping District",,Tianjin,,,China,+86 2223198102,39.123506,117.224626,Monday: 10:00 / 21:30Tuesday: 10:00 / 21:30Wednesday: 10:00 / 21:30Thursday: 10:00 / 21:30Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 21:30No closing days.,,,
Wenzhou Fortune Shopping Mall,670506,"Shop 105, Fortune Shopping Mall, 
577 Chezhan Avenue, 
Lucheng District",,Wenzhou,,,China,+86 57788007578,28.004336,120.689281,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00No closing days.,,,
Wuhan International Plaza Shopping Center,670507,"Shop A109, International Plaza Shopping Centre, 
690 Jiefang Avenue, Hanjiang District",,Wuhan,,,China,+86 2785517266,30.586492,114.277589,Monday: 09:30 / 21:45Tuesday:09:30 / 21:45Wednesday: 09:30 / 21:45Thursday:09:30 / 21:45Friday: 09:30 / 22:15Saturday: 09:00 / 22:15Sunday: 09:00 / 21:45No closing days.,,,
Wuxi Grand Orient,670508,"Shop 110, Grand Orient Department Store, 
343 Zhongshan Road, Chong'an District",,Wuxi,,,China,+86 51081189163,31.581748,120.306228,Monday: 09:30 / 21:30Tuesday: 09:30 / 21:30Wednesday: 09:30 / 21:30Thursday: 09:30 / 21:30Friday: 09:30 / 22:00Saturday: 09:00 / 22:00Sunday: 09:00 / 21:30No closing days.,,,
Xiamen Paragon Center,670509,"Shop F105, Paragon Center, 
197 Jiahe Road, Siming District",,Xiamen,,,China,+86 5925150368,24.488738,118.127503,Monday: 10:00 / 22:00Tuesday:10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00No closing days.,,,
Praha Parizska,670510,"Parizska 119/ 14, Stare Mesto, 110 00",,Prague,,,Czech Republic,+420 222310054,50.089248,14.419705,Monday: 10:00 / 19:00Tuesday: 10:00 / 19:00Wednesday: 10:00 / 19:00Thursday: 10:00 / 19:00Friday: 10:00 / 19:00Saturday: 11:00 / 18:00Sunday: 11:00 / 18:00,,,
Copenhagen Østergade,670511,"Ny stergade 1, 1101",,Copenhagen,,,Denmark,+45 33366887,55.680076,12.583122,Monday: 10:00 / 18:00Tuesday: 10:00 / 18:00Wednesday: 10:00 / 18:00Thursday: 10:00 / 18:00Friday: 10:00 / 18:00Saturday: 10:00 / 17:00Sunday: CLOSED,,,
Dubai Mall of the Emirates,670512,"Mall of the Emirates, Fashion Dome, 
First Floor, Al Barsha 1",,Dubai,,,United Arab Emirates,+971 43951201,25.116874,55.200137,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday: 10:00 / 00:00Friday: 10:00 / 00:00Saturday: 10:00 / 00:00Sunday: 10:00 / 22:00The opening is always 10:00 while the closing can change each month. Extended  to midnight/ 1am during the weekends.,,,
Dubai Mall,670513,"Dubai Mall Fashion Avenue, Ground Floor, 
Financial Centre Road, Downtown Dubai,",,Dubai,,,United Arab Emirates,+971 43253981,25.1976419,55.278710000000046,Monday: 10:00 / 23:00Tuesday: 10:00 / 23:00Wednesday: 10:00 / 23:00Thursday: 10:00 / 00:00Friday: 10:00 / 00:00Saturday: 10:00 / 00:00Sunday: 10:00 / 23:00The opening is always 10:00 while the closing can change each month. Extended  to midnight/ 1am during the weekends.,,,
St Tropez Sibilli  Seasonal,670514,"72 Rue Francois Sibilli, 83990",,St. Tropez,,,France,+33 494827314,43.270547184673056,6.640342868717198,From January to March: 10:00 / 13:00 -14:00 / 18:00closed on Sunday and on Monday.April and October: 10:00 / 13:00 -15:00 / 19:00no closing days.May and September: 10:00 / 20:00no closing days.June: 10:00 / 21:00no closing days.July -August: 10:00 / 22:00no closing days.Closed from 30th October 2017 to 16th December 2017.,,,
London Harrods,670515,"Harrods, 87-135 Brompton Road, 
Knightsbridge, SW1X 7XL",,London,,,United Kingdom,+ 44 2077301234,51.499483,-0.163405,Monday: 10:00 / 21:00Tuesday: 10:00 / 21:00Wednesday: 10:00 / 21:00Thursday: 10:00 / 21:00Friday: 10:00 / 21:00Saturday: 10:00 / 21:00Sunday: 11:30 / 18:00Closed on December25th and Easter.,,,
London Harvey Nichols Women's,670516,"Harvey Nichols & Company Limited, 
109-125 Knightsbridge, SW1X7RJ",,London,,,United Kingdom,+ 44 2072018601,51.501821,-0.159688,Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 20:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: 11:30 / 18:00Closed on December25th and Easter.,,,
London Sloane,670517,"33 Sloane Street, SW1X9NR",,London,,,United Kingdom,+44 2078389394,51.499267,-0.159886,"Monday: 10:00 / 18:00Tuesday: 10:00 / 18:00Wednesday: 10:00 / 19:00Thursday: 10:00 / 18:00Friday: 10:00 / 18:00Saturday: 10:00 / 18:00Sunday: 12:00 / 18:00Closed on Christmas Day and New Year Day. For the month of December, open until 19.00 (apart from Sundays 12-18:00).During summer, open until 19.00.",,,
Athens Kifissia,670518,"14 Kolokotroni St. Kifissia, 145 62",,Athens,,,Greece,+30 2108085182,38.072534,23.816055,Monday: 10:00 / 20:00Tuesday: 10:00 / 20:00Wednesday: 10:00 / 20:00Thursday: 10:00 / 20:00Friday: 10:00 / 20:00Saturday: 10:00 / 20:00Sunday: 10:00 / 20:00,,,
Hong Kong Landmark,670519,"The Landmark, Shop 6-7, G/F, 
15 Queen's Road Central",,Hong Kong,,,Hong Kong,+852 29730882,22.281019,114.158208,Monday: 10:00 / 19:30Tuesday: 10:00 / 19:30Wednesday: 10:00 / 19:30Thursday: 10:00 / 19:30Friday: 10:00 / 19:30Saturday: 10:00 / 19:30Sunday: 11:00 / 19:30Closed on 1st day of Chinese News Year.,,,
Hong Kong Harbour City,670520,"Shop G318A, Gateway Arcade, 
Harbour City, Tsim Sha Tsui",,Hong Kong,,,Hong Kong,+852 27396865,22.296977,114.168123,Monday: 10:00 / 21:00Tuesday: 10:00 / 21:00Wednesday: 10:00 / 21:00Thursday: 10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 21:00Closed on 1st day of Chinese News Year.,,,
Hong Kong International Airport,670521,"Departure East Hall, 6E168 & 6E172, 
Hong Kong International Airport",,Hong Kong,,,Hong Kong,+852 22610771,22.308275,113.918542,Monday: 07:00 / 23:00Tuesday:  07:00 / 23:00Wednesday:  07:00 / 23:00Thursday:  07:00 / 23:00Friday:  07:00 / 23:00Saturday:  07:00 / 23:00Sunday:  07:00 / 23:00No closing days.,,,
Hong Kong Elements,670522,"Elements, Shop 2060A-2061A, 
Kowloon Station, 1 Austin Road West,",,Hong Kong,,,Hong Kong,+852 21968787,22.30418,114.16081,Monday: 10:00 / 21:00Tuesday: 10:00 / 21:00Wednesday: 10:00 / 21:00Thursday:  10:00 / 21:00Friday: 10:00 / 21:00Saturday: 10:00 / 21:00Sunday: 10:00 / 21:00Closed on 1st day of Chinese News Year.,,,
Hong Kong Pacific Place,670523,"Shop 370, Pacific Place, 
88 Queensway Admiralty",,Hong Kong,,,Hong Kong,+852 29181792,22.277359,114.165568,Monday: 10:00 / 19:30Tuesday: 10:00 / 19:30Wednesday: 10:00 / 19:30Thursday:  10:00 / 19:30Friday: 10:00 / 19:30Saturday: 10:00 / 19:30Sunday: 11:00 / 19:30Closed on 1st day of Chinese News Year.,,,
Hong Kong Times Square,670524,"Shop 205-208, 
Times Square, 
1 Matheson Street, Causeway Bay",,Hong Kong,,,Hong Kong,+852 25063106,22.278342,114.182171,Monday: 10:00 / 22:00Tuesday: 10:00 / 22:00Wednesday: 10:00 / 22:00Thursday:  10:00 / 22:00Friday: 10:00 / 22:00Saturday: 10:00 / 22:00Sunday: 10:00 / 22:00Closed on 1st day of Chinese News Year.,,,
