store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Casino Royale Hotel,,3411 Las Vegas Boulevard South,,Las Vegas,NV,89109,US,,36.120952740157,-115.171999201206,"monday 9:00am - 11:00pm, tuesday 9:00am - 11:00pm, wednesday 9:00am - 11:00pm, thursday 9:00am - 11:00pm, friday 9:00am - 11:00pm, saturday 9:00am - 11:00pm, sunday 9:00am - 11:00pm",,,
The District at Tustin Legacy,,2459 Park Ave,,Tustin,CA,92782,US,714 258 0808,33.698417769456,-117.827146385541,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:30pm, saturday 11:00am - 10:30pm, sunday 11:00am - 9:30pm",,,
Red Rocks Station Casino Spa,,10973 West Charleston Blvd,Space #2,Las Vegas,NV,89135,US,,36.1588918095238,-115.332974190476,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Long Beach,,7559 Carson Street,,Long Beach,CA,90808,US,562-627-0051,33.8313246031746,-118.087597142857,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 10:00pm, friday 11:00am - 10:30pm, saturday 11:00am - 10:30pm, sunday 11:00am - 10:00pm",,,
LA Union Station,,800 North Alameda Street,Los Angeles Union Station,Los Angeles,CA,90012,US,,34.05614,-118.23751,"monday 11:30am - 9:00pm, tuesday 11:30am - 9:00pm, wednesday 11:30am - 9:00pm, thursday 11:30am - 9:00pm, friday 11:30am - 9:30pm, saturday 11:30am - 9:00pm, sunday 11:30am - 9:00pm",,,
Burbank,,164 E Palm Avenue,Unit 101,Burbank,CA,91502,US,818 566 7602,34.1819236734694,-118.311171020408,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:30pm, saturday 12:00pm - 11:30pm, sunday 12:00pm - 10:00pm",,,
Universal Citywalk,,100 Universal City Plaza,Space #151,Universal City,CA,91608,US,,34.1361642850259,-118.353962853472,"monday 11:00am - 10:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Universal Studios - Louie's,,100 Universal City Plaza,Space #151,Universal City,CA,91608,US,,34.1361642850259,-118.353962853472,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Sherman Oaks Fashion Square,,14006 Riverside Drive,,Sherman Oaks,CA,91423,US,,34.15761,-118.4383,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 9:00pm, saturday 11:00am - 9:00pm, sunday 11:00am - 7:00pm",,,
Santa Monica,,2441 Main Street,,Santa Monica,CA,90405,US,310 450 0691,34.0034509756098,-118.48507097561,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
Howard Hughes,,6081 Center Drive,Space 214,Los Angeles,CA,90045,US,310 649 1026,33.97795,-118.39263,"monday 11:30am - 10:00pm, tuesday 11:30am - 10:00pm, wednesday 11:30am - 10:00pm, thursday 11:30am - 10:00pm, friday 11:30am - 12:00am, saturday 11:30am - 12:00am, sunday 11:00am - 7:00pm",,,
Sherman Oaks Galleria,,15301 Ventura Boulevard,Space P-6,Sherman Oaks,CA,91403,US,818 789 9951,34.15383,-118.4662,"monday 11:00am - 10:00pm, tuesday 11:00am - 10:00pm, wednesday 11:00am - 10:00pm, thursday 11:00am - 10:00pm, friday 11:00am - 12:00am, saturday 11:00am - 12:00am, sunday 11:00am - 10:00pm",,,
Northridge Fashion Center,,9301 Tampa Avenue,#121,Northridge,CA,91324,US,818 349 7714,34.23911,-118.55356,"monday 10:00am - 9:00pm, tuesday 10:00am - 9:00pm, wednesday 10:00am - 9:00pm, thursday 10:00am - 9:00pm, friday 10:00am - 9:00pm, saturday 10:00am - 9:00pm, sunday 11:00am - 7:00pm",,,
Valencia,,23630-D Valencia Boulevard,Creekside Plaza,Valencia,CA,91355,US,661 253 1666,34.4163207811622,-118.549547289904,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 11:00pm",,,
The Collection at River Park,,2752 Seaglass Way,,Oxnard,CA,93036,US,,34.2398156,-119.1757829,"monday 11:30am - 10:00pm, tuesday 11:30am - 10:00pm, wednesday 11:30am - 10:00pm, thursday 11:30am - 10:00pm, friday 11:30am - 11:00pm, saturday 11:30am - 11:00pm, sunday 11:30am - 10:00pm",,,
Ventura,,523 East Main Street,,Ventura,CA,93001,US,,34.280822244898,-119.292752040816,"monday 11:30am - 10:00pm, tuesday 11:30am - 10:00pm, wednesday 11:30am - 10:00pm, thursday 11:30am - 10:00pm, friday 11:30am - 10:00pm, saturday 11:30am - 10:30pm, sunday 11:30am - 10:00pm",,,
East Hills Mall - CATERING ONLY,,3000 Mall View Road,Suite 1107,Bakersfield,CA,93306,US,661 873 8995,35.39324,-118.961141818182,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Jack London Square,,505 Embarcadero West,,Oakland,CA,94607,US,510 663 3477,37.7959375,-122.278079166667,"monday 11:30am - 10:00pm, tuesday 11:30am - 10:00pm, wednesday 11:30am - 10:00pm, thursday 11:30am - 10:00pm, friday 11:30am - 11:00pm, saturday 11:30am - 11:00pm, sunday 11:30am - 10:00pm",,,
Rittenhouse Square,,1726 Sansom Street,,Philadelphia,PA,19103,US,,39.9507504081633,-75.1693418367347,"monday 1:00pm - 9:00pm, tuesday 1:00pm - 9:00pm, wednesday 1:00pm - 9:00pm, thursday 1:00pm - 9:00pm, friday 1:00pm - 10:00pm, saturday 1:00pm - 10:00pm, sunday 1:00pm - 9:00pm",,,
U - Penn (West Philly),,218 S. 40th Street,,Philadelphia,PA,19104,US,215 382 5092,39.95338375,-75.2027625,"monday 11:00am - 10:00pm, tuesday 11:00am - 10:00pm, wednesday 11:00am - 10:00pm, thursday 11:00am - 10:00pm, friday 11:00am - 11:00pm, saturday 11:00am - 11:00pm, sunday 11:00am - 10:00pm",,,
Borgata,,1 Borgata Way,,Atlantic City,NJ,08401,US,,39.37813,-74.43382,"monday 11:00am - 11:00pm, tuesday 11:00am - 11:00pm, wednesday 11:00am - 11:00pm, thursday 11:00am - 11:00pm, friday 11:00am - 12:00am, saturday 11:00am - 12:00am, sunday 11:00am - 12:00am",,,
Newark Airport,,"Terminal A, Space A1T",,Newark,NJ,07114,US,,40.6881118,-74.1806155,"monday 6:00am - 9:00pm, tuesday 6:00am - 9:00pm, wednesday 6:00am - 9:00pm, thursday 6:00am - 9:00pm, friday 6:00am - 9:00pm, saturday 6:00am - 9:00pm, sunday 6:00am - 9:00pm",,,
Cape May,,414 Washington Street,,Cape May,NJ,08204,US,609 884 3040,38.9324557142857,-74.9232385714286,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Beach Haven II,,600 N Bay Avenue,,Beach Haven,NJ,08008,US,609 492 6300,39.56719,-74.23757,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Hoboken,,405 Washington Street,,Hoboken,NJ,07030,US,201 792 1966,40.7412883673469,-74.0297089795918,"monday 11:00am - 10:00pm, tuesday 11:00am - 10:00pm, wednesday 11:00am - 10:00pm, thursday 11:00am - 10:00pm, friday 11:00am - 11:00pm, saturday 11:00am - 11:00pm, sunday 11:00am - 11:00pm",,,
Riverwalk Edgewater,,22 Riverwalk Place,,West New York,NJ,07093,US,201 867 1111,40.7817742307692,-74.0059415384615,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:00pm, saturday 11:00am - 10:00pm, sunday 11:00am - 10:00pm",,,
Times Square,,200 West 44th Street,,New York,NY,10036,US,212 933 4632,40.75734,-73.98601,"monday 11:00am - 12:00am, tuesday 11:00am - 12:00am, wednesday 11:00am - 12:00am, thursday 11:00am - 12:00am, friday 11:00am - 1:00am, saturday 11:00am - 1:00am, sunday 11:00am - 12:00am",,,
Edgewater Multiplex,,339 River Road,,Edgewater,NJ,07020,US,,40.8102189547611,-73.9888438200225,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Rockefeller Center,,30 Rockefeller Center,Concourse Level,New York,NY,10020,US,212 218 7843,40.75844,-73.97899,"monday 10:00am - 11:00pm, tuesday 10:00am - 11:00pm, wednesday 10:00am - 11:00pm, thursday 10:00am - 11:00pm, friday 10:00am - 11:00pm, saturday 10:00am - 11:00pm, sunday 11:00am - 11:00pm",,,
104th & Broadway,,2722 Broadway,,New York,NY,10025,US,212 866 6237,40.7998196883955,-73.9680834372015,"monday 11:00am - 12:00am, tuesday 11:00am - 12:00am, wednesday 11:00am - 12:00am, thursday 11:00am - 12:00am, friday 11:00am - 12:00am, saturday 11:00am - 12:00am, sunday 11:00am - 12:00am",,,
Englewood,,46 East Palisade Avenue,,Englewood,NJ,07631,US,201 569 3322,40.8930752941176,-73.97344,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:00pm, saturday 11:00am - 10:00pm, sunday 11:00am - 9:00pm",,,
Yankee Stadium,,1 E 161st Street,,Bronx,NY,10451,US,,40.82926,-73.92865,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Concourse Plaza Multiplex - Bronx,,214 East 161st Street,,Bronx,NY,10541,US,,40.8262133333333,-73.92045,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Linden Blvd. Multiplex,,2784 Linden Blvd.,,Brooklyn,NY,11208,US,,40.6696487804878,-73.8603726829268,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
College Point Multiplex,,28-55 Ulmer Street,,Whitestone,NY,11357,US,,40.7709997526568,-73.8360586609711,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Jamaica Multiplex,,One Jamaica Center,15902 Jamaica Avenue,Jamaica,NY,11432,US,,40.70336,-73.80019,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Ridgewood,,104-106 Franklin Ave.,,Ridgewood,NJ,07450,US,201 689 1122,40.9809444103663,-74.1174841358677,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:00pm, saturday 11:00am - 10:00pm, sunday 11:00am - 9:00pm",,,
Showcase Cinemas DeLux  Ridge Hill (Yonkers),,29 Fitzgerald Street,,Yonkers,NY,10710,US,,40.9658663636364,-73.85717,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Montage Mountain,,1000 Montage Mountain Road,Montage Mountain Resort,Scranton,PA,18507,US,,41.34812,-75.68423,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Mohegan Sun at Pocono Downs,,1280 Highway 315,Suite 1237,Wilkes Barre,PA,18702,US,,41.268047700124,-75.8123730694466,"monday 11:00am - 11:00pm, tuesday 11:00am - 11:00pm, wednesday 11:00am - 11:00pm, thursday 11:00am - 11:00pm, friday 11:00am - 2:00am, saturday 11:00am - 2:00am, sunday 11:00am - 11:00pm",,,
The Palisades Center,,1000 Palisades Center Drive,,West Nyack,NY,10994,US,,41.0999136123749,-73.9569065150136,"monday 11:00am - 9:30pm, tuesday 11:00am - 9:30pm, wednesday 11:00am - 9:30pm, thursday 11:00am - 9:30pm, friday 11:00am - 9:30pm, saturday 11:00am - 9:30pm, sunday 11:00am - 8:00pm",,,
Holtsville M.T.- White Plains,,City Center 15 Cinema De Lux,1-29 Mamaroneck Avenue,White Plains,NY,10601,US,,41.03243,-73.76472,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Farmingdale Multiplex,,1001 Broad Hollow Road,,Farmingdale,NY,11735,US,,40.73612,-73.42325,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Watkins Glen,,418 N Franklin Street,,Watkins Glen,NY,14891,US,607 535 4131,42.3804406122449,-76.873393877551,"monday 11:00am - 8:00pm, tuesday 11:00am - 8:00pm, wednesday 11:00am - 8:00pm, thursday 11:00am - 8:00pm, friday 11:00am - 9:00pm, saturday 11:00am - 9:00pm, sunday 11:00am - 8:00pm",,,
Holtsville Multiplex Theaters,,185 Morris Avenue,,Holtsville,NY,11742,US,,40.8170177777778,-73.0588122222222,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Rochester Institute of Technology,,139 Lomb Memorial Drive,Shop # 1370,Rochester,NY,14623,US,,43.0846747804437,-77.6746743413312,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 9:00pm, saturday 12:00pm - 9:00pm, sunday 12:00pm - 7:00pm",,,
RPI,,Sage Avenue and 15th Street,RPI Student Union,Troy,NY,12180,US,,42.73077,-73.67724,"monday 12:00pm - 12:00am, tuesday 12:00pm - 12:00am, wednesday 12:00pm - 12:00am, thursday 12:00pm - 12:00am, friday 12:00pm - 12:00am, saturday 2:00pm - 12:00am, sunday 2:00pm - 12:00am",,,
Montauk,,478 West Lake Drive Extension,,Montauk,NY,11954,US,,41.0745192597983,-71.9388830145973,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Westhampton Beach,,121 Main Street,,Westhampton Beach,NY,11978,US,631 288 5753,40.8099937300303,-72.6427223927489,"monday 12:00pm - 7:00pm, tuesday 12:00pm - 7:00pm, wednesday 12:00pm - 7:00pm, thursday 12:00pm - 7:00pm, friday 12:00pm - 8:00pm, saturday 11:00am - 8:00pm, sunday 11:00am - 6:30pm",,,
Huntington Village,,298 Main Street,,Huntington,NY,11743,US,631 470 0635,40.87102,-73.42794,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 12:00am, saturday 12:00pm - 12:00am, sunday 12:00pm - 10:00pm",,,
Saratoga,,34 Phila Street,,Saratoga Springs,NY,12866,US,518 584 3740,43.08043,-73.78417,"monday 12:00pm - 10:00pm, tuesday 12:00pm - 10:00pm, wednesday 12:00pm - 10:00pm, thursday 12:00pm - 10:00pm, friday 12:00pm - 11:00pm, saturday 12:00pm - 11:00pm, sunday 12:00pm - 10:00pm",,,
Mount Kisco,,639 E. Main Street,,Mount Kisco,NY,10549,US,914 666 2555,41.1900666092283,-73.7305367815435,"monday 11:00am - 9:00pm, tuesday 11:00am - 9:00pm, wednesday 11:00am - 9:00pm, thursday 11:00am - 9:00pm, friday 11:00am - 10:00pm, saturday 11:00am - 10:00pm, sunday 11:00am - 9:00pm",,,
Lake George,,170 Canada Street,,Lake George,NY,12845,US,518 668 5242,43.4235889473684,-73.7135589473684,"monday 12:00pm - 5:00pm, tuesday 12:00pm - 5:00pm, wednesday 12:00pm - 5:00pm, thursday 12:00pm - 5:00pm, friday 12:00pm - 5:00pm, saturday 11:00am - 6:00pm, sunday 11:00am - 6:00pm",,,
Bolton Landing,,4950 State Route 9 N,,Bolton Landing,NY,12814,US,518 644 2926,43.5389439827856,-73.6681056339468,"monday Closed, tuesday Closed, wednesday Closed, thursday Closed, friday Closed, saturday Closed, sunday Closed",,,
Albany - Madison Ave.,,467 Madison Ave.,,Albany,NY,12210,US,,42.6528650792185,-73.7684559785673,"monday 12:00pm - 9:00pm, tuesday 12:00pm - 9:00pm, wednesday 12:00pm - 9:00pm, thursday 12:00pm - 9:00pm, friday 12:00pm - 10:00pm, saturday 12:00pm - 10:00pm, sunday 12:00pm - 9:00pm",,,
Lake Placid,,2423 Main Street,,Lake Placid,NY,12946,US,,44.2907912346174,-73.9850337883513,"monday 12:00pm - 6:00pm, tuesday 12:00pm - 6:00pm, wednesday 12:00pm - 6:00pm, thursday 12:00pm - 6:00pm, friday 12:00pm - 9:00pm, saturday 11:00am - 9:00pm, sunday 11:00am - 6:00pm",,,
