store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,store_type,other_fields,coming_soon
Yanick Fournier,,"85, Rue St-Pierre Suite 100",,St-Constant,QC,J5A 1G8,Canada,450 845-4343,45.377475,-73.565076,"Monday 9 h-22 h, Tuesday 9 h-22 h, Wednesday 9 h-22 h, Thursday 9 h-22 h, Friday 9 h-22 h, Saturday 9 h-20 h, Sunday 9 h-20 h",,,
Michel Nadeau et Luc Tremblay,,"985, Boul. Taschereau",,La Prairie,QC,J5R 1W7,Canada,450 659-5449,45.4062,-73.497663,"Monday 8 h 30-21 h, Tuesday 8 h 30-21 h, Wednesday 8 h 30-21 h, Thursday 8 h 30-21 h, Friday 8 h 30-21 h, Saturday 9 h-18 h, Sunday 9 h-18 h",,,
"B. Morand, E. Peladeau, M.-A. Sauve et S. Vinet",,"86, Boul D'anjou",,Chateauguay,QC,J6K 1C3,Canada,450 691-0000,45.360686,-73.734907,"Monday 9 h-20 h 30, Tuesday 9 h-20 h 30, Wednesday 9 h-20 h 30, Thursday 9 h-20 h 30, Friday 9 h-20 h 30, Saturday 9 h-17 h, Sunday 9 h-17 h",,,
Lamia Boutiba,,"2905, Boul De La Gare",,Vaudreuil-Dorion,QC,J7V 9R2,Canada,450 424-7474,45.389894,-74.054948,"Monday 8 h 30-21 h, Tuesday 8 h 30-21 h, Wednesday 8 h 30-21 h, Thursday 8 h 30-21 h, Friday 8 h 30-21 h, Saturday 9 h-18 h, Sunday 9 h-18 h",,,
Kamyab Amouzegar,,"160, Boul Jean-Leman",,Candiac,QC,J5R 5E1,Canada,450 444-4419,45.3772,-73.503859,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-17 h, Sunday 10 h-17 h",,,
Pierre Leclerc,,"301, Rue Ellice",,Beauharnois,QC,J6N 1X2,Canada,450 225-2000,45.314928,-73.873007,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 10 h-17 h",,,
Daniel Vermette et Sandra Bordus,,"1811, Ch St-Angelique",,St-Lazare,QC,J7T 2X9,Canada,450 455-4331,45.399723,-74.136815,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 9 h-17 h",,,
"P. Dufour, J.-F. Thibeault et E. Lefebvre",,"70, Rue Okeefe",,Salaberry-De-Valleyfield,QC,J6S 5C6,Canada,450 377-4443,45.273256,-74.092501,"Monday 9 h-21 h, Tuesday 9 h-21 h, Wednesday 9 h-21 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h 30, Sunday Ferme",,,
"Vinet, Sauve, Morand et Peladeau",,"521, Boul Du Havre",,Salaberry-De-Valleyfield,QC,J6S 4Z5,Canada,450 373-1611,45.265981,-74.126429,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-18 h, Saturday 9 h-14 h, Sunday Ferme",,,
Michel Vinet,,"21, Route 201",,Coteau-Du-Lac,QC,J0P 1B0,Canada,450 763-1234,45.296396,-74.179022,"Monday 9 h-20 h 30, Tuesday 9 h-20 h 30, Wednesday 9 h-20 h 30, Thursday 9 h-20 h 30, Friday 9 h-20 h 30, Saturday 9 h-17 h, Sunday 10 h-16 h",,,
"Vinet, Sauve, Morand et Peladeau",,"90, Ch Laroque",,Salaberry-De-Valleyfield,QC,J6T 4A5,Canada,450 373-5656,45.253364,-74.135364,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-21 h, Friday 9 h-21 h, Saturday 9 h-17 h, Sunday 9 h-17 h",,,
Alain Brunet,,"640, Rue St-Regis, Bureau 1",,St-Isidore-Laprairie,QC,J0L 2A0,Canada,450 454-5507,45.301488,-73.6806,"Monday 9 h-20 h, Tuesday 9 h-20 h, Wednesday 9 h-20 h, Thursday 9 h-20 h, Friday 9 h-20 h, Saturday 9 h-17 h, Sunday 10 h-13 h",,,
Maurice Benoit,,"207, Rue Principale",,St-Guillaume,QC,J0C 1L0,Canada,819 396-2255,45.887919,-72.760991,"Monday 9 h 30-17 h 30, Tuesday 8 h 30-17 h 30, Wednesday 9 h 30-17 h 30, Thursday 9 h 30-17 h 30, Friday 9 h 30-17 h 30, Saturday 10 h-14 h, Sunday Ferme",,,
